Food_code,Main_food_description,FII,FII score,,
11460170,"Yogurt, frozen, flavors other than chocolate, lowfat milk",0.021726074,2.99554564,,
11460190,"Yogurt, frozen, NS as to flavor, nonfat milk",-0.08587608,5.15816382,,
11460200,"Yogurt, frozen, chocolate, nonfat milk",-0.17926193,7.03505877,,
11460250,"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated",-0.10383034,5.51901353,,
11460300,"Yogurt, frozen, flavors other than chocolate, nonfat milk",-0.08941118,5.22921337,,
11460400,"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener",-0.17926193,7.03505877,,
11460410,"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener",-0.08941118,5.22921337,,
11460420,"Yogurt, frozen, NS as to flavor, whole milk",-0.01668433,3.76752865,,
11460430,"Yogurt, frozen, chocolate, whole milk",-0.1563601,6.57477141,,
11460440,"Yogurt, frozen, flavors other than chocolate, whole milk",-0.00678002,3.56846918,,
11460500,"Frozen yogurt, soft serve, vanilla",-0.02863994,4.00781595,,
11460510,"Frozen yogurt, soft serve, chocolate",-0.15203621,6.48786866,,
11461000,"Yogurt, frozen, chocolate-coated",0.184762451,1,,
11461200,"Yogurt, frozen, sandwich",-0.06130984,4.66442471,,
11461210,"Frozen yogurt bar, vanilla",-0.00678002,3.56846918,,
11461220,"Frozen yogurt bar, chocolate",-0.15603283,6.56819379,,
11461250,"Yogurt, frozen, cone, chocolate",-0.20889178,7.63056775,,
11461260,"Yogurt, frozen, cone, flavors other than chocolate",-0.05980781,4.63423653,,
11461270,"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk",-0.06108956,4.6599975,,
11461280,"Yogurt, frozen, cone, chocolate, lowfat milk",-0.20045681,7.46103936,,
11461300,"Frozen yogurt cone, vanilla, waffle cone",-0.02346309,3.90377017,,
11461320,"Frozen yogurt cone, chocolate, waffle cone",-0.16680936,6.78478359,,
11480000,"Baby Toddler food, NFS",-0.24307134,8.31751816,,
